/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice161.wav|and yet we are providing affordable housing to a vast majority of New Yorkers.| and yet we are providing affordable housing to a vast majority of New Yorkers.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice35.wav|But it's things like the Department of Transportation's transportation survey that can actually tell us a lot more than individual traffic tickets can.| But it's things like the Department of Transportation's transportation survey that can actually tell us a lot more than individual traffic tickets can.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice36.wav|It's aspects such as looking at the overall rental landscape that can tell us more maybe than starts and stops of apartments.| It's aspects such as looking at the overall rental landscape that can tell us more maybe than starts and stops of apartments.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice4.wav|reforms that we think will make the government more effective and efficient.| reforms that we think will make the government more effective and efficient.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice145.wav|standards on apartments. And again, these are usually good standards. It's a best| standards on apartments. And again, these are usually good standards. It's a best
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice73.wav|And so eventually, it was actually my predecessor, Dan Court, that pointed out to me, hey, the reason it hasn't happened is it's in the state constitution. And that became the target of what we had to change.| And so eventually, it was actually my predecessor, Dan Court, that pointed out to me, hey, the reason it hasn't happened is it's in the state constitution. And that became the target of what we had to change.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice129.wav|That's particularly pertinent in my district, where an independent design firm has found 135 offices that are good candidates for potential conversion.| That's particularly pertinent in my district, where an independent design firm has found 135 offices that are good candidates for potential conversion.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice142.wav|by putting a little bit of surcharge on warehouse units or on vacant units or ones where there's really no effort in order to bring it out to the public and allow people to live there for at least six months out of the year. Now I think most people| by putting a little bit of surcharge on warehouse units or on vacant units or ones where there's really no effort in order to bring it out to the public and allow people to live there for at least six months out of the year. Now I think most people
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice117.wav|on it. But I do, as someone who understands AI and has worked in AI and is generally bullish on AI, I do want people to take the downside risk fairly serious.| on it. But I do, as someone who understands AI and has worked in AI and is generally bullish on AI, I do want people to take the downside risk fairly serious.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice118.wav|When OpenAI was first testing GPT-4 and aligning it before they did a public release of it, they wanted to see how much it would perhaps break out of the bounds that were put out there.| When OpenAI was first testing GPT-4 and aligning it before they did a public release of it, they wanted to see how much it would perhaps break out of the bounds that were put out there.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice49.wav|which the process for listeners at home is, it has to pass the legislature, both houses, then there has to be an election, then it has to pass the legislature again, and then it can be placed on the ballot.| which the process for listeners at home is, it has to pass the legislature, both houses, then there has to be an election, then it has to pass the legislature again, and then it can be placed on the ballot.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice97.wav|the state agency responsible for IT put out a 1.0 guideline for the state use of AI last week, which I'm sure will be reformed over time, but really focuses on where AI is making a decision that was previously made by a human.| the state agency responsible for IT put out a 1.0 guideline for the state use of AI last week, which I'm sure will be reformed over time, but really focuses on where AI is making a decision that was previously made by a human.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice133.wav|because if you don't want to raise taxes and you don't want to cut services, then your only option is to expand the tax base. And the way to expand the tax base is to have more New Yorkers.| because if you don't want to raise taxes and you don't want to cut services, then your only option is to expand the tax base. And the way to expand the tax base is to have more New Yorkers.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice17.wav|craft it this way because it'll really work better with how the tech is actually operating will hopefully lead to better outcomes for everyone.| craft it this way because it'll really work better with how the tech is actually operating will hopefully lead to better outcomes for everyone.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice157.wav||
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice45.wav|And because it just delays trials, it delays justice, it raises the cost for anyone who's interacting with the court system. And we know that justice delayed is justice denied.| And because it just delays trials, it delays justice, it raises the cost for anyone who's interacting with the court system. And we know that justice delayed is justice denied.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice102.wav|Government deals with really serious issues, and when we're having that, we need to have a higher scale of audit on these systems.| Government deals with really serious issues, and when we're having that, we need to have a higher scale of audit on these systems.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice34.wav|actually budget for getting those right results to inform how we're spending and we don't always do that.| actually budget for getting those right results to inform how we're spending and we don't always do that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice62.wav|I'm glad you asked.| I'm glad you asked.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice109.wav|And the MPAI initiative is following that.| And the MPAI initiative is following that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice43.wav|because there is a limit in the New York State Constitution on the total number of judges per jurisdiction based on population that was put there originally in 1925, which for those counting at home is the Coolidge administration.| because there is a limit in the New York State Constitution on the total number of judges per jurisdiction based on population that was put there originally in 1925, which for those counting at home is the Coolidge administration.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice107.wav|And so they came together to form a consortium to build a large data center for the universities, put it right next to the river and powered it by hydropower.| And so they came together to form a consortium to build a large data center for the universities, put it right next to the river and powered it by hydropower.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice59.wav|has actually been at the limit for decades. So it's not by borough, it's by judicial district, but every borough in New York City is its own judicial district.| has actually been at the limit for decades. So it's not by borough, it's by judicial district, but every borough in New York City is its own judicial district.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice108.wav|green energy and were able to reduce the cost of doing their research by a massive portion. Massachusetts put in a little money at the start to get it seeded, as did private philanthropists, but now it largely runs itself.| green energy and were able to reduce the cost of doing their research by a massive portion. Massachusetts put in a little money at the start to get it seeded, as did private philanthropists, but now it largely runs itself.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice137.wav|But anytime you talk about wanting more housing, inevitably people will say, well, we have some vacant units and we have some vacant land.| But anytime you talk about wanting more housing, inevitably people will say, well, we have some vacant units and we have some vacant land.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice72.wav|process, you know, when you get to an idea that seems common sense and everyone's for it, it hasn't happened. There's probably a reason.| process, you know, when you get to an idea that seems common sense and everyone's for it, it hasn't happened. There's probably a reason.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice79.wav|That was the bounds of that technology. AI is as wide, if not wider.| That was the bounds of that technology. AI is as wide, if not wider.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice67.wav|by speeding up the trials that we're seeing.| by speeding up the trials that we're seeing.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice172.wav|And so if we can expand that 3% with an affordability provision, great. If the only way to make it work is as of right, great. That's housing that we didn't have before. So I want more housing. I want it at all levels. Yes. And when it comes to that.| And so if we can expand that 3% with an affordability provision, great. If the only way to make it work is as of right, great. That's housing that we didn't have before. So I want more housing. I want it at all levels. Yes. And when it comes to that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice48.wav|And as long as there's a constitutional limit, we can't even have that conversation first. But no, largely most people are in support. It's just a constitutional amendment, which.| And as long as there's a constitutional limit, we can't even have that conversation first. But no, largely most people are in support. It's just a constitutional amendment, which.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice82.wav|So it's a yes and approach to this. The other bit that people miss with AI is that this is going to move faster than any technology before.| So it's a yes and approach to this. The other bit that people miss with AI is that this is going to move faster than any technology before.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice165.wav|big. But I think if there's one perspective to share, it's that it doesn't necessarily have to be one big package, right? Regardless of what that package includes, that's not going to be the end of what we do in housing. There's going to be additional| big. But I think if there's one perspective to share, it's that it doesn't necessarily have to be one big package, right? Regardless of what that package includes, that's not going to be the end of what we do in housing. There's going to be additional
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice81.wav|don't regulate it the right way. And we need to be jumping ahead with the places where it can directly help and revolutionize both the economy and government services.| don't regulate it the right way. And we need to be jumping ahead with the places where it can directly help and revolutionize both the economy and government services.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice25.wav|There's always pieces in data where you're making assumptions and caveats. And can you build relationships with experts where they can say, this is what we know and what we're sure about, this is what we're less sure about, but is informing our decisions.| There's always pieces in data where you're making assumptions and caveats. And can you build relationships with experts where they can say, this is what we know and what we're sure about, this is what we're less sure about, but is informing our decisions.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice111.wav|research. I'm really bullish on that.| research. I'm really bullish on that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice2.wav|People are concerned about what's going on about the state and the city budget, but they're also seeing the city continue to recover from COVID. And my district's really the economic engine for much of New York. And so we talked about.| People are concerned about what's going on about the state and the city budget, but they're also seeing the city continue to recover from COVID. And my district's really the economic engine for much of New York. And so we talked about.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice85.wav|as just one example, Nvidia, the maker of the chips that are used to actually power AI research, recently took all of their corporate knowledge, all of the bug reports, all of their schematics for chips, and put that into an AI system to help develop new chips.| as just one example, Nvidia, the maker of the chips that are used to actually power AI research, recently took all of their corporate knowledge, all of the bug reports, all of their schematics for chips, and put that into an AI system to help develop new chips.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice19.wav|It's tough to tweet out a study or tweet out good data. And so maybe in what gets filtered out, especially to those who aren't as rapid listeners of your podcast as I am, maybe the pieces that they pick up feel uninformed by data.| It's tough to tweet out a study or tweet out good data. And so maybe in what gets filtered out, especially to those who aren't as rapid listeners of your podcast as I am, maybe the pieces that they pick up feel uninformed by data.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice41.wav|And the good news is that in this past legislative session and my first, I was able to author a bill with Senator Hoylman Siegel that created 20 new judges throughout New York state in order to reduce the backlog.| And the good news is that in this past legislative session and my first, I was able to author a bill with Senator Hoylman Siegel that created 20 new judges throughout New York state in order to reduce the backlog.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice88.wav|The role for the state and local government is going to be the places where we're already regulating things in the state and local government, but AI is starting to touch that.| The role for the state and local government is going to be the places where we're already regulating things in the state and local government, but AI is starting to touch that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice166.wav|steps needed. And I worry that we're waiting so long to pass the grand bargain that we miss a bunch of wins along the way and people are struggling now. People are getting evicted now. People can't find a place to live now.| steps needed. And I worry that we're waiting so long to pass the grand bargain that we miss a bunch of wins along the way and people are struggling now. People are getting evicted now. People can't find a place to live now.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice122.wav|And chat gbt responded and said oh no i just have a visual impairment like thank you for helping. That's scary.| And chat gbt responded and said oh no i just have a visual impairment like thank you for helping. That's scary.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice101.wav|So we'll learn over time as that develops, but certainly it shouldn't be a ban all of AI use in government, nor should it be a anything that's faster is good, right?| So we'll learn over time as that develops, but certainly it shouldn't be a ban all of AI use in government, nor should it be a anything that's faster is good, right?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice87.wav|To get into some of the specifics of that, while much of the regulation will have to happen at the federal level as it should, it shouldn't necessarily be a patchwork of 50 states.| To get into some of the specifics of that, while much of the regulation will have to happen at the federal level as it should, it shouldn't necessarily be a patchwork of 50 states.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice134.wav|When you build housing, you're creating construction jobs, you're creating demand for businesses, and those businesses will pay taxes.| When you build housing, you're creating construction jobs, you're creating demand for businesses, and those businesses will pay taxes.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice95.wav|And I maybe it's a minority view, but I actually think doing creative things like robocalls in different languages is a good use of AI with the caveat that there should be a disclaimer at the start, that that's how it was generated.| And I maybe it's a minority view, but I actually think doing creative things like robocalls in different languages is a good use of AI with the caveat that there should be a disclaimer at the start, that that's how it was generated.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice96.wav|But I thought that was a creative way to reach out to people in their own language. Just, you know, be transparent about what exactly is happening. How government uses AI will be more and more part of the conversation. So ITS,| But I thought that was a creative way to reach out to people in their own language. Just, you know, be transparent about what exactly is happening. How government uses AI will be more and more part of the conversation. So ITS,
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice16.wav|sometimes really good intentions get bogged down by writing laws that don't interact with systems or have unexpected consequences or outcomes. And so me being able to say, hey, I see where you're going with this, why don't we call it that?| sometimes really good intentions get bogged down by writing laws that don't interact with systems or have unexpected consequences or outcomes. And so me being able to say, hey, I see where you're going with this, why don't we call it that?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice30.wav|But then I've asked some follow ups of what does look like in years past, what it looked like here and being able to say, well, we're not exactly sure. Here's the estimate. Here's where we're moving. I think we'll lead to better.| But then I've asked some follow ups of what does look like in years past, what it looked like here and being able to say, well, we're not exactly sure. Here's the estimate. Here's where we're moving. I think we'll lead to better.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice144.wav|of potentially rent regulated apartments that are in need of so much repair that there's no way they could raise the rent under the law enough to actually cover the cost of those renovations. And so if we're putting standards,| of potentially rent regulated apartments that are in need of so much repair that there's no way they could raise the rent under the law enough to actually cover the cost of those renovations. And so if we're putting standards,
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice92.wav|campaign ad or material was made with AI. That's one of my top priorities to get through this year.| campaign ad or material was made with AI. That's one of my top priorities to get through this year.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice99.wav|There are cyber issues that are making decisions. So it's not just about decisions, but it's decisions that will impact human lives or that were previously made by a human.| There are cyber issues that are making decisions. So it's not just about decisions, but it's decisions that will impact human lives or that were previously made by a human.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice80.wav|And so we need to be fearful of what could potentially happen.| And so we need to be fearful of what could potentially happen.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice115.wav|around New York. So I think that's a really good initiative if we can land it correctly. And then on the concerned side, these new AI platforms, generative AI, are known to hallucinate is the word, they'll maybe make up fast.| around New York. So I think that's a really good initiative if we can land it correctly. And then on the concerned side, these new AI platforms, generative AI, are known to hallucinate is the word, they'll maybe make up fast.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice110.wav|The state's going to put in a little money at the start. There's private philanthropists, but then universities are going to have access, not just to broad compute, but to GPUs, which are the specific type of chip that's needed for AI research.| The state's going to put in a little money at the start. There's private philanthropists, but then universities are going to have access, not just to broad compute, but to GPUs, which are the specific type of chip that's needed for AI research.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice42.wav|But we couldn't create any state supreme court judges. We can talk about the different levels in a sec. But we couldn't create any state supreme court judges in Manhattan, in the Bronx, or in Staten Island.| But we couldn't create any state supreme court judges. We can talk about the different levels in a sec. But we couldn't create any state supreme court judges in Manhattan, in the Bronx, or in Staten Island.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice23.wav|actually reference some in my say the district or email the firm and they were like oh you actually understand like they're like you wanted in a CSV or shape files like I've never asked a legislator this.| actually reference some in my say the district or email the firm and they were like oh you actually understand like they're like you wanted in a CSV or shape files like I've never asked a legislator this.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice153.wav|New York is actually taxed at its market value. And that's a good thing. I'm not saying we should massively raise those taxes, but it is egregious when you look at vacant land that we are so under taxing it. If we just taxed.| New York is actually taxed at its market value. And that's a good thing. I'm not saying we should massively raise those taxes, but it is egregious when you look at vacant land that we are so under taxing it. If we just taxed.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice52.wav|There's a deep long history of how the New York court system has come to be and actually think it'd be a great idea for an event for New York law school. Right. Yes. Far beyond even what I know about it.| There's a deep long history of how the New York court system has come to be and actually think it'd be a great idea for an event for New York law school. Right. Yes. Far beyond even what I know about it.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice159.wav|But these are active conversations and I find often the best policies come from maybe everyone came in with an original idea of what they thought was possible and then they hit re-| But these are active conversations and I find often the best policies come from maybe everyone came in with an original idea of what they thought was possible and then they hit re-
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice40.wav|the first year since the pandemic where the number of cases closed exceeded those that were open. So we were slightly working off the debt, but we have a huge debt to go through in order to give people a fair trial.| the first year since the pandemic where the number of cases closed exceeded those that were open. So we were slightly working off the debt, but we have a huge debt to go through in order to give people a fair trial.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice18.wav|It's a great question and I would actually say I'd have an optimistic take on this which is I think on the inside There actually is a lot more data than people will will realize| It's a great question and I would actually say I'd have an optimistic take on this which is I think on the inside There actually is a lot more data than people will will realize
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice138.wav|I don't think that's enough to solve the problem, but given that this is an existential crisis, as you mentioned, we should be looking at everything that can help the problem.| I don't think that's enough to solve the problem, but given that this is an existential crisis, as you mentioned, we should be looking at everything that can help the problem.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice33.wav|So inputs can give a good sense of where we're going, but often outputs requires survey data or require a follow-up interview or analysis or deeper bits. And so we need to...| So inputs can give a good sense of where we're going, but often outputs requires survey data or require a follow-up interview or analysis or deeper bits. And so we need to...
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice38.wav|And judicial reform is a very big topic in a lot of different places we could go with it, but my focus for this year and my top priority across my entire legislative portfolio is enabling there to be more judges. So...| And judicial reform is a very big topic in a lot of different places we could go with it, but my focus for this year and my top priority across my entire legislative portfolio is enabling there to be more judges. So...
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice150.wav|that is actually looking at how we under-tax vacant land. I grew up in New York City, and it was a whole new world.| that is actually looking at how we under-tax vacant land. I grew up in New York City, and it was a whole new world.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice12.wav|What I said during the campaign and we'll say now is I don't think every legislator should have a background in computer science, but I think at least one of us should.| What I said during the campaign and we'll say now is I don't think every legislator should have a background in computer science, but I think at least one of us should.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice164.wav|But we've been putting forward our own proposals as well. Obviously, I don't think anyone would say that our job is done. We haven't passed something.| But we've been putting forward our own proposals as well. Obviously, I don't think anyone would say that our job is done. We haven't passed something.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice63.wav|The version of this that I like to tell is that Rikers, the New York City jail, which again, 85% of the people held there are waiting trial, right?| The version of this that I like to tell is that Rikers, the New York City jail, which again, 85% of the people held there are waiting trial, right?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice66.wav|So yes, judges are expensive, but if we can speed up trials, if we can get rid of some of the delays that we're seeing and scheduling your next court date, because we only have so many judges that can hear cases in the long run, that might even save money that might even pay for itself. And that's not the point. The point is we need faster trials to get real justice, but there's real savings that you can have.| So yes, judges are expensive, but if we can speed up trials, if we can get rid of some of the delays that we're seeing and scheduling your next court date, because we only have so many judges that can hear cases in the long run, that might even save money that might even pay for itself. And that's not the point. The point is we need faster trials to get real justice, but there's real savings that you can have.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice50.wav|So the soonest this could be on the ballot would be 2025, more likely 2026. We like to put it in times where there's more voter turnouts and where people can be involved. But often ballot initiatives fail. Often these amendments fail.| So the soonest this could be on the ballot would be 2025, more likely 2026. We like to put it in times where there's more voter turnouts and where people can be involved. But often ballot initiatives fail. Often these amendments fail.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice65.wav|Which is not exactly the same as saying we have the most backlog court system, but it's pretty darn close And you look at the cost of housing someone in Rikers it costs more than it does to send them to Harvard| Which is not exactly the same as saying we have the most backlog court system, but it's pretty darn close And you look at the cost of housing someone in Rikers it costs more than it does to send them to Harvard
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice112.wav|A, because I think it'll allow more AI safety research, how we can make sure that these systems are doing what we want, that they're aligned with human interests and that we have the right checks and understanding of them.| A, because I think it'll allow more AI safety research, how we can make sure that these systems are doing what we want, that they're aligned with human interests and that we have the right checks and understanding of them.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice47.wav|And to which I say that is a great conversation to have once we remove this artificial cap, right? First, we need to enable us to have the conversation about whether there can be more judges.| And to which I say that is a great conversation to have once we remove this artificial cap, right? First, we need to enable us to have the conversation about whether there can be more judges.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice119.wav|And they set it to complete a task and it realized that it couldn't do it. It reached a CAPTCHA in the online form, right? The, are you a robot? Prove you're not a robot bit?| And they set it to complete a task and it realized that it couldn't do it. It reached a CAPTCHA in the online form, right? The, are you a robot? Prove you're not a robot bit?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice140.wav|And one is a cap and dividend on property taxes. And so basically saying if you are a normal resident in your unit or you're doing active repairs in order to make it habitable, we're gonna give you a little break on your property taxes.| And one is a cap and dividend on property taxes. And so basically saying if you are a normal resident in your unit or you're doing active repairs in order to make it habitable, we're gonna give you a little break on your property taxes.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice89.wav|So one example of that is campaigns.| So one example of that is campaigns.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice56.wav|But what we're focused on here is the state Supreme Court, which is not the highest court in New York state. That's the Court of Appeals. Fun fact for your colleagues in the workplace today, I asked them the highest court in New York state.| But what we're focused on here is the state Supreme Court, which is not the highest court in New York state. That's the Court of Appeals. Fun fact for your colleagues in the workplace today, I asked them the highest court in New York state.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice70.wav|And realizing that in both cases, the problem was that trials were taking way too long. Ultimately, everyone wants a trial. We want a fair adjudication of what the alleged crime is.| And realizing that in both cases, the problem was that trials were taking way too long. Ultimately, everyone wants a trial. We want a fair adjudication of what the alleged crime is.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice26.wav|Or are you going to take this caveat or something that's less sure and tweet that out and then all of a sudden that's some controversial story.| Or are you going to take this caveat or something that's less sure and tweet that out and then all of a sudden that's some controversial story.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice124.wav|So we absolutely need to be careful when we, especially when we're unleashing these, connecting to the internet, connecting to data systems, there's a lot of safety work that still needs to be done.| So we absolutely need to be careful when we, especially when we're unleashing these, connecting to the internet, connecting to data systems, there's a lot of safety work that still needs to be done.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice151.wav|It's always shocking to me that there was any vacant land in New York City.| It's always shocking to me that there was any vacant land in New York City.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice170.wav|day. And so I know everyone's bringing that urgency and I hope we show that same urgency when it comes to finding compromise or compromises to actually make progress for New York.| day. And so I know everyone's bringing that urgency and I hope we show that same urgency when it comes to finding compromise or compromises to actually make progress for New York.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice146.wav|abatement or.| abatement or.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice61.wav|So what I was able to do with Senator Hoylman-Siegel was add some family court judges, some civil judges, some criminal judges, and some state supreme court judges in Brooklyn, in Queens, and one upstate, but we couldn't in the other three parts.| So what I was able to do with Senator Hoylman-Siegel was add some family court judges, some civil judges, some criminal judges, and some state supreme court judges in Brooklyn, in Queens, and one upstate, but we couldn't in the other three parts.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice29.wav|Here's what you're willing to talk about, but let's talk about places that might be trickier. I'm in conversation right now with the MTA, for example, where they have a very comprehensive cost containment study, which I found to be quite compelling.| Here's what you're willing to talk about, but let's talk about places that might be trickier. I'm in conversation right now with the MTA, for example, where they have a very comprehensive cost containment study, which I found to be quite compelling.
